Resource_ID,Resource_Name,Resource_Type,Cloud_Provider,Region,Creation_Date,Hourly_Cost,CPU_Utilization_Pct,Memory_Usage_GB,Resource_Status,Owner_Email
RES-00001,dev_test_node_1,Other,Azure,unknown,2025-08-27,6.1452,7.48,128.0,stopped,
,prod-app-server-2,Other,Google Cloud,eu-west-1,2024-04-14,10.5952,80.47,4.0,RUNNING,alpha_ops
RES-00003,dev_test_node_3,Other,Azure,unknown,2024-03-22,4.7578,82.99,64.0,stopped,system_admin
RES-00004,prod-app-server-4,Other,Azure,us-west-2,2025-12-05,10.5372,26.42,,Running,
RES-00005,dev_test_node_5,Other,Azure,unknown,2024-05-26,7.0215,59.66,128.0,Running,john.doe@company.com
RES-00006,prod-app-server-6,Other,AWS,us-west-2,2024-03-06,5.8559,56.73,4.0,decline,unknown
RES-00007,dev_test_node_7,Virtual Machine,AWS,us-east-1,2025-05-27,1.3391,83.7,16.0,Terminated,
RES-00008,prod-app-server-8,Other,Google Cloud,ap-south-1,2026-05-01,3.0185,12.36,4.0,CRITICAL,beta_dev@company.com
RES-00009,dev_test_node_9,Other,Google Cloud,us-west-2,2025-12-31,8.127,53.39,16.0,,
RES-00010,  prod-app-server-10  ,Other,AWS,us-west-2,2025-06-10,2.6858,92.47,256.0,stopped,
RES-00011,dev_test_node_11,Other,Google Cloud,ap-south-1,2025-10-23,4.2479,28.25,256.0,Terminated,
RES-00012,prod-app-server-12,Virtual Machine,Azure,us-east-1,2024-04-05,2.0872,24.99,2.0,,
RES-00014,prod-app-server-14,Virtual Machine,Azure,us-east-1,2026-06-01,11.1297,60.59,128.0,decline,unknown
RES-00015,dev_test_node_15,Other,Google Cloud,us-west-2,2026-02-08,3.4202,14.35,32.0,Terminated,
RES-00017,dev_test_node_17,Other,Google Cloud,US-East,2024-04-04,0.5606,17.23,8.0,Error,unknown
RES-00018,prod-app-server-18,Other,Azure,US-East,2025-03-16,11.2383,85.48,16.0,decline,john.doe@company.com
RES-00020,prod-app-server-20,Other,Azure,  us-east-1 ,2026-06-11,6.1452,85.82,32.0,Running,unknown
RES-00021,dev_test_node_21,Virtual Machine,Google Cloud,,2025-09-02,3.9278,52.82,16.0,Stopped,team_alpha@company.com
RES-00022,prod-app-server-22,Other,Azure,eu-west-1,2025-09-30,8.9997,33.92,128.0,Stopped,unknown
RES-00023,dev_test_node_23,Virtual Machine,Unknown,ap-south-1,2025-03-16,4.0349,68.17,8.0,decline,alpha_ops
RES-00025,dev_test_node_25,Other,AWS,  us-east-1 ,2025-06-14,11.4692,17.47,64.0,Error,unknown
RES-00026,prod-app-server-26,Other,AWS,ap-south-1,2026-02-23,2.9982,71.72,64.0,Running,unknown
RES-00027,dev_test_node_27,Other,AWS,ap-south-1,2024-07-30,9.6247,6.83,128.0,Error,team_alpha@company.com
RES-00028,prod-app-server-28,Other,Google Cloud,US-East,2024-08-13,6.0757,67.54,8.0,Error,beta_dev@company.com
RES-00029,dev_test_node_29,Other,AWS,us-east-1,2024-02-21,5.6892,87.25,128.0,Stopped,alpha_ops
RES-00030,prod-app-server-30,Other,AWS,,2024-09-10,6.1452,67.59,16.0,Error,system_admin
RES-00031,dev_test_node_31,Virtual Machine,Azure,eu-west-1,2025-11-24,11.769,60.36,16.0,active,system_admin
RES-00032,prod-app-server-32,Virtual Machine,AWS,eu-west-1,2025-10-25,10.2809,94.83,256.0,Terminated,
RES-00033,dev_test_node_33,Other,AWS,ap-south-1,2026-05-22,3.4938,75.17,128.0,Running,team_alpha@company.com
RES-00034,prod-app-server-34,Other,Google Cloud,eu-west-1,2024-01-11,3.0245,56.91,256.0,decline,
RES-00035,dev_test_node_35,Other,Azure,eu-west-1,2024-12-18,4.1416,30.33,4.0,stopped,
RES-00036,prod-app-server-36,Other,AWS,eu-west-1,2024-10-16,3.7101,33.26,8.0,Stopped,team_alpha@company.com
RES-00037,dev_test_node_37,Other,AWS,us-east-1,2025-03-27,3.1635,15.67,256.0,active,team_alpha@company.com
RES-00038,prod-app-server-38,Other,AWS,US-East,2024-08-19,11.3572,60.03,2.0,DELETED,alpha_ops
RES-00039,dev_test_node_39,Virtual Machine,Azure,us-west-2,2025-12-06,2.9011,70.73,16.0,Stopped,john.doe@company.com
RES-00040,prod-app-server-40,Other,Azure,us-east-1,2026-04-24,1.5632,70.43,256.0,Error,alpha_ops
RES-00042,prod-app-server-42,Database Instance,Google Cloud,ap-south-1,2024-12-03,8.2857,76.11,,active,
RES-00043,dev_test_node_43,Other,AWS,unknown,2025-06-14,7.8214,24.03,32.0,Error,
RES-00044,prod-app-server-44,Other,Google Cloud,US-East,2026-05-11,1.4772,51.6,32.0,RUNNING,
RES-00045,dev_test_node_45,Other,Azure,unknown,2026-03-19,9.8486,5.24,256.0,Terminated,
RES-00046,prod-app-server-46,Database Instance,Google Cloud,  us-east-1 ,2024-08-27,3.984,90.41,8.0,Error,team_alpha@company.com
RES-00047,dev_test_node_47,Other,AWS,us-east-1,2025-02-23,0.9446,29.78,128.0,decline,alpha_ops
RES-00048,prod-app-server-48,Other,AWS,  us-east-1 ,2025-12-01,9.3371,14.2,4.0,Error,beta_dev@company.com
RES-00049,dev_test_node_49,Other,Google Cloud,eu-west-1,2025-11-29,0.9963,62.94,8.0,stopped,
RES-00050,prod-app-server-50,Database Instance,Google Cloud,unknown,2025-08-24,8.632,33.25,256.0,active,john.doe@company.com
RES-00051,dev_test_node_51,Other,Google Cloud,eu-west-1,2024-02-20,10.4122,77.53,64.0,stopped,john.doe@company.com
RES-00052,prod-app-server-52,Other,Azure,,2026-03-18,9.1572,32.59,8.0,stopped,beta_dev@company.com
RES-00053,dev_test_node_53,Other,Azure,eu-west-1,2024-10-29,1.4485,18.16,128.0,CRITICAL,
RES-00054,prod-app-server-54,Other,Google Cloud,US-East,2025-11-22,6.1452,90.58,4.0,decline,
RES-00055,dev_test_node_55,Virtual Machine,Google Cloud,ap-south-1,2025-02-01,9.2918,44.19,8.0,RUNNING,alpha_ops
RES-00056,prod-app-server-56,Other,Google Cloud,us-west-2,2024-04-11,11.2722,10.66,4.0,Error,alpha_ops
RES-00057,  dev_test_node_57  ,Virtual Machine,Google Cloud,us-west-2,2026-04-29,2.7072,35.72,2.0,Stopped,beta_dev@company.com
RES-00059,dev_test_node_59,Other,Azure,eu-west-1,2025-05-05,1.3584,46.47,64.0,DELETED,beta_dev@company.com
RES-00060,prod-app-server-60,Other,Google Cloud,US-East,2024-04-11,8.1874,56.55,128.0,Error,john.doe@company.com
RES-00061,dev_test_node_61,Other,Google Cloud,eu-west-1,2025-04-30,1.1744,74.08,2.0,DELETED,unknown
RES-00062,prod-app-server-62,Virtual Machine,Google Cloud,  us-east-1 ,2024-11-15,2.6671,25.97,64.0,active,system_admin
RES-00063,dev_test_node_63,Other,Azure,us-east-1,2024-01-30,3.8692,5.57,128.0,active,beta_dev@company.com
RES-00064,prod-app-server-64,Other,Google Cloud,ap-south-1,2026-03-06,11.0429,75.54,-16.0,active,system_admin
RES-00065,dev_test_node_65,Other,Azure,us-east-1,2025-08-30,0.5773,61.04,,Stopped,john.doe@company.com
RES-00066,prod-app-server-66,Database Instance,Google Cloud,us-west-2,2025-07-26,0.9102,8.96,,active,
RES-00067,dev_test_node_67,Virtual Machine,Google Cloud,us-east-1,2025-04-16,1.1107,27.75,4.0,RUNNING,system_admin
RES-00068,prod-app-server-68,Other,AWS,US-East,2026-01-14,1.8546,28.93,8.0,decline,alpha_ops
RES-00069,dev_test_node_69,Virtual Machine,AWS,unknown,2025-10-01,3.9586,48.84,32.0,DELETED,team_alpha@company.com
RES-00070,  prod-app-server-70  ,Other,Google Cloud,us-east-1,2025-08-31,6.9334,88.76,16.0,Running,
RES-00071,dev_test_node_71,Other,Google Cloud,,2025-12-25,6.5391,39.86,128.0,Running,team_alpha@company.com
RES-00072,prod-app-server-72,Other,Google Cloud,eu-west-1,2025-09-09,7.2884,37.71,128.0,Terminated,alpha_ops
RES-00073,dev_test_node_73,Other,Azure,us-east-1,2025-01-06,4.2782,22.95,8.0,active,system_admin
RES-00074,prod-app-server-74,Other,AWS,unknown,2025-01-20,8.6636,89.4,2.0,RUNNING,
RES-00075,dev_test_node_75,Other,AWS,us-west-2,2025-04-25,8.4821,46.2,128.0,CRITICAL,unknown
RES-00077,dev_test_node_77,Other,AWS,ap-south-1,2024-03-24,6.1452,65.77,8.0,Active,system_admin
RES-00078,prod-app-server-78,Other,AWS,US-East,2026-05-05,7.6149,77.57,4.0,Active,john.doe@company.com
RES-00079,dev_test_node_79,Database Instance,Azure,us-east-1,2024-10-25,3.0146,67.12,64.0,active,unknown
