Resource_ID,Resource_Name,Resource_Type,Cloud_Provider,Region,Creation_Date,Hourly_Cost,CPU_Utilization_Pct,Memory_Usage_GB,Resource_Status,Owner_Email
RES-00001,dev_test_node_1,Storage Bucket,Azure,unknown,2025-08-27 00:00:00,-7.92,7.48,128,stopped,NaN
,prod-app-server-2,Lambda,Google Cloud,eu-west-1,2024-04-14 00:00:00,10.5952,80.47,4,RUNNING,alpha_ops
RES-00003,dev_test_node_3,K8s,azure,unknown,2024-03-22 00:00:00,4.7578,82.99,64,stopped,system_admin
RES-00004,prod-app-server-4,Kubernetes Cluster,azure,us-west-2,2025-12-05 00:00:00,10.5372,26.42,,Running,NULL
RES-00005,dev_test_node_5,Blob Storage,azure,unknown,2024-05-26 00:00:00,7.0215,59.66,128,Running,john.doe@company.com
RES-00006,prod-app-server-6,STORAGE_BUCKET,aws,us-west-2,2024-03-06 00:00:00,5.8559,56.73,4,decline,unknown
RES-00007,dev_test_node_7,virtual_machine,AWS ,us-east-1,2025-05-27 00:00:00,1.3391,83.7,16,Terminated,
RES-00008,prod-app-server-8,,gcp,ap-south-1,2026-05-01 00:00:00,3.0185,12.36,4,CRITICAL,beta_dev@company.com
RES-00009,dev_test_node_9,STORAGE_BUCKET,Google Cloud,us-west-2,2025-12-31 00:00:00,8.127,53.39,16,,
RES-00010,  prod-app-server-10  ,Lambda,AWS,us-west-2,2025-06-10 00:00:00,2.6858,92.47,256,stopped,NaN
RES-00011,dev_test_node_11,SQL Database,Google Cloud,ap-south-1,2025-10-23 00:00:00,4.2479,28.25,256,Terminated,NULL
RES-00012,prod-app-server-12,  VM  ,Azure  ,us-east-1,2024-04-05 00:00:00,2.0872,24.99,2,,NULL
RES-00013,dev_test_node_13,S3 Bucket,Google Cloud,unknown,2026-01-05 00:00:00,2.7291,ERROR,2,Running,team_alpha@company.com
RES-00014,prod-app-server-14,Virtual Machine,Azure  ,us-east-1,2026-06-01 00:00:00,11.1297,60.59,128,decline,unknown
RES-00015,dev_test_node_15,S3 Bucket,Google Cloud,us-west-2,2026-02-08 00:00:00,$3.4202,14.35,32,Terminated,
RES-00016,prod-app-server-16,STORAGE_BUCKET,Azure  ,unknown,2026-15-45,3.7492,92.79,4,active,unknown
RES-00017,dev_test_node_17,Serverless Function,GCP,US-East,2024-04-04 00:00:00,0.5606,17.23,8,Error,unknown
RES-00018,prod-app-server-18,Lambda,Azure,US-East,2025-03-16 00:00:00,11.2383,85.48,16,decline,john.doe@company.com
RES-00019,dev_test_node_19,K8s,Azure,us-west-2,26/02/2025,4.159,80.01,16,Stopped,beta_dev@company.com
RES-00020,prod-app-server-20,Storage Bucket,azure,  us-east-1 ,2026-06-11 00:00:00,-8.17,85.82,32,Running,unknown
